
***************************************************
NUMERO DE PROCESOS      : 8
NUMERO DE GESTORES    : 3
UMERO DE  >  =  <     : 3
NUMERO TOTAL (+E/S)   : 7
***************************************************

P0:	 E/S
P1:	 GESTOR NUMERO
P2:	 GESTOR NUMERO
P3:	 GESTOR NUMERO
P4:	 ADIVINA > = <
P5:	 ADIVINA > = <
P6:	 ADIVINA > = <
P7:	 SIN TAREA


NN	Numero	I_MIM	O_MIM	Tiempo Calculo	Tiempo Total	Proceso PG

0	93	0	0	0.000000	0.000000	procesoPG->0

1	15	5	1	0.071113	0.102988	procesoPG->2

2	23	0	0	0.000000	0.000000	procesoPG->0

3	81	0	0	0.000000	0.000000	procesoPG->0

4	96	0	0	0.000000	0.000000	procesoPG->0

5	18	0	0	0.000000	0.000000	procesoPG->0

6	38	0	0	0.000000	0.000000	procesoPG->0

7	41	0	0	0.000000	0.000000	procesoPG->0

8	37	0	0	0.000000	0.000000	procesoPG->0

9	8	0	0	0.000000	0.000000	procesoPG->0

10	62	0	0	0.000000	0.000000	procesoPG->0

11	27	0	0	0.000000	0.000000	procesoPG->0

12	62	0	0	0.000000	0.000000	procesoPG->0

13	79	0	0	0.000000	0.000000	procesoPG->0

14	11	0	0	0.000000	0.000000	procesoPG->0

Total----	5	1	0.071113	0.102988



NN	Numero	I_MIM	O_MIM	Tiempo Calculo	Tiempo Total	Proceso PG

0	93	6	2	0.102750	0.121619	procesoPG->1

1	15	5	1	0.071113	0.102988	procesoPG->2

2	23	0	0	0.000000	0.000000	procesoPG->0

3	81	0	0	0.000000	0.000000	procesoPG->0

4	96	0	0	0.000000	0.000000	procesoPG->0

5	18	0	0	0.000000	0.000000	procesoPG->0

6	38	0	0	0.000000	0.000000	procesoPG->0

7	41	0	0	0.000000	0.000000	procesoPG->0

8	37	0	0	0.000000	0.000000	procesoPG->0

9	8	0	0	0.000000	0.000000	procesoPG->0

10	62	0	0	0.000000	0.000000	procesoPG->0

11	27	0	0	0.000000	0.000000	procesoPG->0

12	62	0	0	0.000000	0.000000	procesoPG->0

13	79	0	0	0.000000	0.000000	procesoPG->0

14	11	0	0	0.000000	0.000000	procesoPG->0

Total----	11	3	0.173863	0.224607



NN	Numero	I_MIM	O_MIM	Tiempo Calculo	Tiempo Total	Proceso PG

0	93	6	2	0.102750	0.121619	procesoPG->1

1	15	5	1	0.071113	0.102988	procesoPG->2

2	23	7	0	0.102418	0.183546	procesoPG->3

3	81	0	0	0.000000	0.000000	procesoPG->0

4	96	0	0	0.000000	0.000000	procesoPG->0

5	18	0	0	0.000000	0.000000	procesoPG->0

6	38	0	0	0.000000	0.000000	procesoPG->0

7	41	0	0	0.000000	0.000000	procesoPG->0

8	37	0	0	0.000000	0.000000	procesoPG->0

9	8	0	0	0.000000	0.000000	procesoPG->0

10	62	0	0	0.000000	0.000000	procesoPG->0

11	27	0	0	0.000000	0.000000	procesoPG->0

12	62	0	0	0.000000	0.000000	procesoPG->0

13	79	0	0	0.000000	0.000000	procesoPG->0

14	11	0	0	0.000000	0.000000	procesoPG->0

Total----	18	3	0.276281	0.408153



NN	Numero	I_MIM	O_MIM	Tiempo Calculo	Tiempo Total	Proceso PG

0	93	6	2	0.102750	0.121619	procesoPG->1

1	15	5	1	0.071113	0.102988	procesoPG->2

2	23	7	0	0.102418	0.183546	procesoPG->3

3	81	6	2	0.076021	0.110652	procesoPG->2

4	96	0	0	0.000000	0.000000	procesoPG->0

5	18	0	0	0.000000	0.000000	procesoPG->0

6	38	0	0	0.000000	0.000000	procesoPG->0

7	41	0	0	0.000000	0.000000	procesoPG->0

8	37	0	0	0.000000	0.000000	procesoPG->0

9	8	0	0	0.000000	0.000000	procesoPG->0

10	62	0	0	0.000000	0.000000	procesoPG->0

11	27	0	0	0.000000	0.000000	procesoPG->0

12	62	0	0	0.000000	0.000000	procesoPG->0

13	79	0	0	0.000000	0.000000	procesoPG->0

14	11	0	0	0.000000	0.000000	procesoPG->0

Total----	24	5	0.352302	0.518805



